2.1316 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
34.7564 	EXP 	fixation: autoDraw = True
35.7634 	EXP 	fixation: autoDraw = False
35.7634 	EXP 	grating: autoDraw = True
35.7634 	EXP 	grating: tex = 'sin'
36.0630 	EXP 	grating: autoDraw = False
36.2175 	EXP 	window1: recordFrameIntervals = False
36.2202 	DATA 	Keypress: left
36.2298 	EXP 	fixation: autoDraw = False
36.2298 	EXP 	grating: autoDraw = False
36.2302 	EXP 	window1: recordFrameIntervals = False
37.2086 	EXP 	fixation: autoDraw = True
38.2128 	EXP 	fixation: autoDraw = False
38.2296 	EXP 	grating: autoDraw = True
38.2296 	EXP 	grating: tex = 'sin'
38.5298 	EXP 	grating: autoDraw = False
38.6009 	EXP 	window1: recordFrameIntervals = False
38.6035 	DATA 	Keypress: right
38.6132 	EXP 	fixation: autoDraw = False
38.6132 	EXP 	grating: autoDraw = False
38.6136 	EXP 	window1: recordFrameIntervals = False
39.5915 	EXP 	fixation: autoDraw = True
40.5964 	EXP 	fixation: autoDraw = False
40.6132 	EXP 	grating: autoDraw = True
40.6132 	EXP 	grating: tex = 'sin'
40.9131 	EXP 	grating: autoDraw = False
41.0339 	EXP 	window1: recordFrameIntervals = False
41.0366 	DATA 	Keypress: right
41.0464 	EXP 	fixation: autoDraw = False
41.0464 	EXP 	grating: autoDraw = False
41.0468 	EXP 	window1: recordFrameIntervals = False
42.0249 	EXP 	fixation: autoDraw = True
43.0296 	EXP 	fixation: autoDraw = False
43.0465 	EXP 	grating: autoDraw = True
43.0465 	EXP 	grating: tex = 'sin'
43.3465 	EXP 	grating: autoDraw = False
43.4338 	EXP 	window1: recordFrameIntervals = False
43.4366 	DATA 	Keypress: right
43.4462 	EXP 	fixation: autoDraw = False
43.4462 	EXP 	grating: autoDraw = False
43.4466 	EXP 	window1: recordFrameIntervals = False
44.4246 	EXP 	fixation: autoDraw = True
45.4297 	EXP 	fixation: autoDraw = False
45.4465 	EXP 	grating: autoDraw = True
45.4465 	EXP 	grating: tex = 'sin'
45.7464 	EXP 	grating: autoDraw = False
45.8505 	EXP 	window1: recordFrameIntervals = False
45.8532 	DATA 	Keypress: left
45.8630 	EXP 	fixation: autoDraw = False
45.8630 	EXP 	grating: autoDraw = False
45.8634 	EXP 	window1: recordFrameIntervals = False
46.8421 	EXP 	fixation: autoDraw = True
47.8462 	EXP 	fixation: autoDraw = False
47.8630 	EXP 	grating: autoDraw = True
47.8630 	EXP 	grating: tex = 'sin'
48.1514 	EXP 	window1: recordFrameIntervals = False
48.1542 	DATA 	Keypress: right
48.1630 	EXP 	grating: autoDraw = False
48.1630 	EXP 	fixation: autoDraw = False
48.1630 	EXP 	grating: autoDraw = False
48.1635 	EXP 	window1: recordFrameIntervals = False
49.1429 	EXP 	fixation: autoDraw = True
50.1463 	EXP 	fixation: autoDraw = False
50.1631 	EXP 	grating: autoDraw = True
50.1631 	EXP 	grating: tex = 'sin'
50.4629 	EXP 	grating: autoDraw = False
50.5673 	EXP 	window1: recordFrameIntervals = False
