trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,key_resp.corr,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,up,0.01,db,0.050578972712994955,0,0.0012719999067485332,62.54581149993464,62.54581149993464,62.845847400370985,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,up,0.01,db,0.050578972712994955,1,0.00130390003323555,65.04599760007113,65.04599760007113,65.34595880005509,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,up,0.01,db,0.05063723744072658,0,0.001291200052946806,67.54578329995275,67.54578329995275,67.84560510003939,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,up,0.01,db,0.05063723744072658,1,0.0007784999907016754,69.87932200031355,69.87932200031355,70.17928580008447,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,up,0.01,db,0.050695569286834004,0,0.0012787003070116043,72.31253820005804,72.31253820005804,72.6123435003683,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,up,0.01,db,0.0507539683286346,0,0.0013129999861121178,74.7290728003718,74.7290728003718,75.02897230023518,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,up,0.01,db,0.050812434643534826,0,0.0005713999271392822,77.24583140015602,77.24583140015602,77.54567199992016,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,up,0.01,db,0.05087096830903029,0,0.001285600010305643,79.61248610028997,79.61248610028997,79.91187239997089,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,up,0.01,db,0.0509295694027059,0,0.0006925999186933041,81.94575110031292,81.94575110031292,82.24514780007303,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,up,0.01,db,0.050988238002235904,0,0.0005764001980423927,84.24559090007097,84.24559090007097,84.54534590011463,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,up,0.01,db,0.05104697418538406,0,0.001276599708944559,86.62878100015223,86.62878100015223,86.92888440005481,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,up,0.01,db,0.05104697418538406,1,0.0013295002281665802,88.9789366000332,88.9789366000332,89.27879190025851,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,up,0.01,db,0.05104697418538406,1,0.0013137999922037125,91.4289029003121,91.4289029003121,91.72876780014485,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,32,down,0.005,db,0.051017597640993985,1,0.0012932997196912766,93.87879720004275,93.87879720004275,94.17864850023761,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,up,0.005,db,0.05104697418538406,0,0.0010903002694249153,96.2621372002177,96.2621372002177,96.5620321999304,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,up,0.005,db,0.05104697418538406,1,0.0013223998248577118,98.62871260009706,98.62871260009706,98.92858370020986,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,up,0.005,db,0.05104697418538406,1,0.001301600132137537,101.0619928999804,101.0619928999804,101.36189860012382,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,up,0.005,db,0.0510763676451406,0,0.0012133000418543816,103.44535070005804,103.44535070005804,103.74523469991982,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,up,0.005,db,0.0510763676451406,1,0.0012709000147879124,105.81196320010349,105.81196320010349,106.11318460013717,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
